, Amazon Music Storage (discontinued), iTunes Match, Google Play Music, VOX Music Cloud, Groove Music + OneDrive (discontinued), Style Jukebox (discontinued), iBroadcast
Owner:, Amazon.com  Inc., Apple Inc., Google Inc., Coppertino Inc., Microsoft Corp., Digital Geek Ltd., iBroadcast Media  LLC
Launch date:, 2011-03-29[9], 2011-10-12, 2011-05-10 (beta)[10], 2015-04-15[11], 2015-03-18[12], 2012-09-05, 2012-06-15[13]
Web player:, {{yes|Yes}}, {{no}}, {{yes|Yes}}[14], {{no}}, {{yes|Yes}}, {{yes|Yes}}[15], {{yes}}
Windows player:, {{yes|Yes}}, {{yes|Yes}}, {{partial|Chrome}}, {{no}}, {{yes|Yes}}, {{yes|Yes}}, {{no}}
Android player:, {{yes}}[16][17], {{yes}}, {{yes}}[14], {{no}}, {{yes}}, {{yes}}, {{yes}}
iOS player:, {{yes}}[18][19], {{yes}}, {{yes}}[20], {{yes}}[21], {{yes}}, {{yes}}, {{yes}}
Windows Phone player:, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}
Other listening platforms:, Fire TV  Sonos [22] Roku [23][24] Samsung TVs  Amazon Echo and Dot, Apple TV  other AirPlay, Android TV  Apple TV  other AirPlay  Chromecast  Sonos[25], macOS  Apple TV via AirPlay  Chromecast  Sonos[26], Xbox One  Xbox 360, Via AirPlay  Qualcomm AllPlay [27] Chromecast, 
Free space:{{efn|Purchased music files from associated music store do not count toward space limits.}}, {{partial|250 files}}, {{no|None[28]}}, {{yes|50 000 files[29]}}, {{partial|Unlimited Uploads & Playback (2 weeks trial period)}}, {{partial|5 GB}}, {{partial|10 GB 30 days trial[30]}}, {{yes|Unlimited}}
Upload software:, Windows  macOS[6], Windows  macOS, {{yes|Windows  macOS  Linux [31] Web Upload[32]}}, {{yes| Web Upload  VOX Player for Mac}}, {{yes|Windows  macOS  Web Upload  Windows Phone  iOS  Android}}, {{yes | Windows  macOS [33] Web Upload and Automatic Import from Dropbox  OneDrive and Google Drive[34][35]}}, Any Browser  Windows
Filetypes uploaded:, MP3 and AAC[36], MP3 and AAC, MP3[37], FLAC  MP3  AAC  M4A  WAV  OGG  AIFF  WMA  APE  ALAC, MP3  AAC  WMA, MP3  AAC  OGG  WMA  M4A  WAV  APE  AIFF  FLAC  ALAC, MP3  AAC  OGG  FLAC  PCM  MKA
Filetypes transcoded:, None, Transcoded to 256 kbit/s AAC: ALAC  WAV  AIFF, Transcoded to 320 kbit/s MP3: AAC  ALAC  FLAC {{efn|Google Play Music transcoding of FLAC to MP3 only supported with 16 and 24-bit stereo or mono FLAC.}} WMA {{efn|Google Play Music only supports WMA transcoding on Windows with Music Manager.}} Ogg[38], None, None, None on upload, 
Maximum file size:, 100 MB, 200 MB or 2 hours[39], 300 MB[40], No limit, 10 GB[41], 1 GB, 
Premium service name:, Cloud Player Premium[42][43], iTunes Match[44], None storage related, Loop Music Cloud Storage, Additional OneDrive storage, Style Jukebox Pro[45], Entirely Free (Premium Features TBA)
Premium service features:, Match/import up to 250 000 files, Match/import up to 100 000 files{{efn|In the United States and Australia  iTunes Match also gets you ad-free iTunes Radio listening.}}[46], Matching included in basic features[47], Unlimited Storage and Playback, N/A, Upload 2 TB of music 24bit/192kHz High-Resolution Audio Playback, TBA
Premium annual cost:, $24.99 (US)  £21.99 (UK), $24.99 (US)  £21.99 (UK)  €24.99 (FR)  $39.99 (AU), None, $15.99 (per month)  $131.88 (per year), N/A, $4.99 for 10 GB  $29.99 for 100 GB  $99.99 for 1 TB, TBA
Matchable file types:, MP3  AAC  AIFF  ALAC  WAV  FLAC  Ogg  WMA[36], MP3  AAC  AIFF  ALAC  WAV[44], MP3  AAC  ALAC  FLAC  Ogg  WMA[38], No matching feature, No matching feature, No matching feature, No matching feature
Result for matched song:, 256 kbit/s VBR MP3[48], 256 kbit/s AAC[44], 320 kbit/s CBR MP3[49][50], No matching feature, No matching feature, No matching feature, No matching feature
Premium service countries:, US  UK [51] DE  FR[52], 117[53], 63[54][55], Worldwide, 22, Worldwide, TBA
