, Union, Intersect, Except, Inner joins, Outer joins, Inner selects, Merge joins, Blobs and Clobs, Common Table Expressions, Windowing Functions, Parallel Query, System-versioned Tables
4th Dimension, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ADABAS, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Adaptive Server Enterprise, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Advantage Database Server, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}
Altibase, {{yes}}, {{yes}}, {{yes|Yes  via MINUS}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{No}}, {{No}}, {{No}}, {{dunno}}
Apache Derby, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
ClustrixDB, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
CUBRID, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}[76], {{dunno}}, {{dunno}}
DB2, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[113], {{yes}}[114]
Empress Embedded Database, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
EXASolution, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Firebird, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}
HSQLDB, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[115], {{yes}}, {{yes}}, {{no}}, {{yes}}[115], {{dunno}}
H2, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, experimental[116], {{yes}}[117], {{dunno}}, {{dunno}}
Informix Dynamic Server, {{yes}}, {{yes}}, {{yes|Yes  via MINUS}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[118], {{dunno}}
Ingres, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
InterBase, {{Yes}}, {{dunno}}, {{dunno}}, {{Yes}}, {{Yes}}, {{dunno}}, {{dunno}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Linter SQL RDBMS, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}
LucidDB, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
MariaDB, {{yes}}, {{yes|10.3+}}[119], {{yes|10.3+}}[120], {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}[121], {{yes}}[122], {{no}}[123], {{yes}}[114]
MaxDB, {{Yes}}, {{dunno}}, {{dunno}}, {{Yes}}, {{Yes}}, {{Yes}}, {{no}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Microsoft Access (JET), {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
Microsoft Visual Foxpro, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Microsoft SQL Server, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[124], {{yes}}[125], {{yes}}[114]
Microsoft SQL Server Compact (Embedded Database), {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
Mimer SQL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
MonetDB, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
MySQL, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes|8+}}[126], {{no}}, {{no}}[123], {{no}}[114]
OpenBase SQL, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
OpenLink Virtuoso, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Oracle, {{yes}}, {{yes}}, {{yes|Yes  via MINUS}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} 1, {{yes}}, {{yes}}[127], {{no}}[114]
Oracle Rdb, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Pervasive PSQL, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}
Polyhedra DBMS, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}
PostgreSQL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes|8.4+}}[128], {{yes}}, {{yes}}[129], {{no}}[114]
Raima Database Manager, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}
RDM Server, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}
SAP HANA, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
solidDB, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
SQL Anywhere, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
SQLite, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Depends|LEFT only}}, {{yes}}, {{no}}, {{yes}}, {{yes|3.8.3+}}[130], {{yes|3.25+}}[131], {{no}}, {{no}}[114]
SQream DB, {{Depends|ALL only}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}
Teradata, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
UniVerse, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
, Union, Intersect, Except, Inner joins, Outer joins, Inner selects, Merge joins, Blobs and Clobs, Common Table Expressions, Windowing Functions, Parallel Query, System-versioned Tables
